year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2022,Netherlands,United States,0.558,0.252,0.19,0,0,Ottavi
2022,Argentina,Australia,0.676,0.206,0.118,0,0,Ottavi
2022,France,Poland,0.545,0.257,0.199,0,0,Ottavi
2022,England,Senegal,0.559,0.252,0.189,0,0,Ottavi
2022,Japan,Croatia,0.306,0.285,0.41,1,2,Ottavi
2022,Brazil,South Korea,0.705,0.192,0.103,0,0,Ottavi
2022,Portugal,Switzerland,0.423,0.283,0.294,0,0,Ottavi
2022,Morocco,Spain,0.249,0.274,0.477,1,2,Ottavi
2022,Croatia,Brazil,0.151,0.231,0.618,1,2,Quarti
2022,Netherlands,Argentina,0.311,0.285,0.404,1,2,Quarti
2022,Morocco,Portugal,0.228,0.268,0.504,0,2,Quarti
2022,England,France,0.36,0.287,0.352,2,0,Quarti
2022,Argentina,Croatia,0.53,0.261,0.209,0,0,Semifinali
2022,France,Morocco,0.464,0.277,0.259,0,0,Semifinali
2022,Croatia,Morocco,0.359,0.288,0.354,0,0,Finale
2022,Argentina,France,0.418,0.284,0.298,1,0,Finale
